paths,mc_price,bs_price,abs_error,mean_abs_error,rmse_error,std_error,ci_low,ci_high,backend,ranks
20000,10.474255526543857,10.450583572185565,0.02367195435829359,0.12338799420230231,0.14868399640187635,0.1044608634920304,10.367802888354294,10.781548730962687,petsc,4
50000,10.487118138009325,10.450583572185565,0.03653456582375867,0.06581397201695224,0.07410246078019207,0.06608083178791,10.399567532614435,10.659198154466653,petsc,4
100000,10.447955288726291,10.450583572185565,0.002628283459274172,0.037237753721765895,0.046684737447570346,0.04655062323361416,10.38679702519798,10.569135206461423,petsc,4
200000,10.459118520833886,10.450583572185565,0.008534948648320651,0.03194575419626524,0.03588803522153162,0.03293763890872116,10.42098021659284,10.550235892964112,petsc,4
400000,10.460009736054587,10.450583572185565,0.009426163869022019,0.02109495430219539,0.025613331745418765,0.02328809580541878,10.404756665799233,10.49599485947206,petsc,4
800000,10.456442593294854,10.450583572185565,0.0058590211092891305,0.015912520480570437,0.020599561972699958,0.016467390460703852,10.42338862726616,10.487962264771927,petsc,4
